F-,C-,G-,D-,A-,E-,B-,F,C,G,D,A,E,B,F#,C#,G#,D#,A#,E#,B#
0.0,0.0,0.0,0.0,0.0,154.0,516.0,325.0,350.0,849.0,901.0,424.0,109.0,38.0,124.0,34.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,264.5,875.5,715.5,780.0,1346.5,1459.5,912.5,314.0,63.0,98.0,85.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,111.0,426.0,302.5,338.5,785.5,794.0,483.5,123.0,66.0,104.0,26.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,44.0,194.5,135.0,143.0,287.0,312.0,156.5,57.0,2.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,232.5,312.5,183.0,424.5,519.0,323.0,112.0,26.0,41.0,21.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,38.0,292.0,447.0,401.0,521.5,544.5,348.5,167.0,56.5,45.5,18.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,47.0,220.0,265.0,200.0,332.0,343.0,203.0,59.0,26.0,35.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,32.0,100.0,86.5,80.0,184.0,171.0,89.0,30.5,16.0,27.0,2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,47.0,261.0,300.0,219.0,420.0,812.5,587.5,228.0,12.0,30.0,42.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,103.5,475.0,487.0,330.5,822.5,1297.5,764.5,256.5,16.0,65.0,58.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,75.0,684.0,851.0,618.5,1225.0,1941.5,1405.0,591.0,44.0,110.0,139.0,0.0,0.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,142.0,477.0,444.5,337.0,755.0,1094.5,745.0,210.0,9.0,66.0,44.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,75.0,256.0,243.0,213.5,465.5,785.5,555.0,190.5,0.0,42.0,24.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,35.0,173.5,216.0,131.5,262.5,640.0,398.5,128.0,1.0,17.0,19.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,70.5,551.0,482.5,226.0,559.0,1032.5,566.0,134.5,14.0,61.0,11.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,77.5,382.0,398.0,235.0,531.5,926.0,637.5,189.5,10.0,33.0,22.0,0.0,0.0,0.0,0.0
